Date,Price,Open,High,Low,Vol.,Change %
"Sep 25, 2013","14,620.53","14,713.03","14,737.98","14,620.53",151.02K,-0.76
"Sep 24, 2013","14,732.61","14,626.04","14,767.72","14,607.27",114.95K,-0.07
"Sep 20, 2013","14,742.42","14,801.64","14,816.65","14,702.25",162.48K,-0.16
"Sep 19, 2013","14,766.18","14,680.4","14,766.18","14,581.79",174.63K,1.8
"Sep 18, 2013","14,505.36","14,411.55","14,625.97","14,396.41",155.85K,1.35
"Sep 17, 2013","14,311.67","14,456.99","14,474.53","14,311.67",121.27K,-0.65
"Sep 13, 2013","14,404.67","14,316.7","14,439.93","14,233.12",180.67K,0.12
"Sep 12, 2013","14,387.27","14,397.9","14,455.37","14,321.57",118.41K,-0.26
"Sep 11, 2013","14,425.07","14,511.74","14,561.46","14,422.72",170.00K,0.01
"Sep 10, 2013","14,423.36","14,318.72","14,441.81","14,296.78",209.90K,1.54
"Sep 09, 2013","14,205.23","14,141.67","14,251.46","14,117.68",173.55K,2.48
"Sep 06, 2013","13,860.81","14,088.41","14,099.13","13,834.52",139.86K,-1.45
"Sep 05, 2013","14,064.82","14,140.2","14,156.5","13,981.52",146.62K,0.08
"Sep 04, 2013","14,053.87","13,875.17","14,056.88","13,843.61",138.42K,0.54
"Sep 03, 2013","13,978.44","13,748.68","13,978.44","13,748.68",162.43K,2.99
"Sep 02, 2013","13,572.92","13,438.07","13,613.48","13,407.53",112.60K,1.37
"Aug 30, 2013","13,388.86","13,573.24","13,615.98","13,335.91",156.70K,-0.53
"Aug 29, 2013","13,459.71","13,382.95","13,463.14","13,364.82",121.44K,0.91
"Aug 28, 2013","13,338.46","13,285.03","13,392.57","13,188.14",132.81K,-1.51
"Aug 27, 2013","13,542.37","13,551.75","13,678.79","13,517.1",116.78K,-0.69
"Aug 26, 2013","13,636.28","13,719.56","13,741.49","13,586.84",104.11K,-0.18
"Aug 23, 2013","13,660.55","13,583.76","13,774.66","13,575.4",164.25K,2.21
"Aug 22, 2013","13,365.17","13,314.05","13,447.33","13,238.73",133.21K,-0.44
"Aug 21, 2013","13,424.33","13,431.28","13,499.99","13,250.36",148.26K,0.21
"Aug 20, 2013","13,396.38","13,632.96","13,730.09","13,383.18",138.03K,-2.63
"Aug 19, 2013","13,758.13","13,669.74","13,758.13","13,589.78",96.94K,0.79
"Aug 16, 2013","13,650.11","13,532.61","13,739.52","13,532.61",129.56K,-0.75
"Aug 15, 2013","13,752.94","13,845.64","13,981.16","13,711.12",137.82K,-2.12
"Aug 14, 2013","14,050.16","13,936.74","14,050.16","13,747.18",152.59K,1.32
"Aug 13, 2013","13,867","13,696.36","13,867","13,689.49",126.11K,2.57
"Aug 12, 2013","13,519.43","13,469.7","13,658.86","13,430.64",117.73K,-0.7
"Aug 09, 2013","13,615.19","13,673.49","13,754.96","13,527.81",159.15K,0.07
"Aug 08, 2013","13,605.56","13,779.47","14,031.14","13,556.65",167.70K,-1.59
"Aug 07, 2013","13,824.94","14,155.95","14,164.7","13,824.94",178.50K,-4
"Aug 06, 2013","14,401.06","14,237.1","14,401.06","14,031.61",153.96K,1
"Aug 05, 2013","14,258.04","14,318.21","14,370.98","14,225.5",134.07K,-1.44
"Aug 02, 2013","14,466.16","14,178.66","14,466.16","14,146.92",193.49K,3.29
"Aug 01, 2013","14,005.77","13,674.5","14,005.77","13,645.61",195.68K,2.47
"Jul 31, 2013","13,668.32","13,733.55","13,836.03","13,644.21",186.50K,-1.45
"Jul 30, 2013","13,869.82","13,634.2","13,909.45","13,613.78",183.40K,1.53
"Jul 29, 2013","13,661.13","13,899.27","13,953.85","13,661.13",184.66K,-3.32
"Jul 26, 2013","14,129.98","14,339.39","14,376.01","14,114.52",196.05K,-2.97
"Jul 25, 2013","14,562.93","14,747.21","14,748.77","14,533.21",158.22K,-1.14
"Jul 24, 2013","14,731.28","14,719.64","14,751.87","14,630.68",143.03K,-0.32
"Jul 23, 2013","14,778.51","14,555.36","14,820.18","14,549.06",163.07K,0.82
"Jul 22, 2013","14,658.04","14,770.02","14,770.02","14,514.29",177.47K,0.47
"Jul 19, 2013","14,589.91","14,909.76","14,953.29","14,413.28",269.39K,-1.48
"Jul 18, 2013","14,808.5","14,645.25","14,827.73","14,645.25",191.29K,1.32
"Jul 17, 2013","14,615.04","14,491.8","14,615.04","14,460.56",247.68K,0.11
"Jul 16, 2013","14,599.12","14,594.88","14,638.8","14,550.89",186.07K,0.64
"Jul 12, 2013","14,506.25","14,475.17","14,574.17","14,417.3",184.91K,0.23
"Jul 11, 2013","14,472.58","14,275.26","14,496.67","14,275.26",167.49K,0.39
"Jul 10, 2013","14,416.6","14,464.82","14,555.33","14,287.69",178.17K,-0.39
"Jul 09, 2013","14,472.9","14,295.44","14,472.9","14,186.03",197.56K,2.58
"Jul 08, 2013","14,109.34","14,491.07","14,497.65","14,109.34",220.49K,-1.4
"Jul 05, 2013","14,309.97","14,150.85","14,309.97","14,149.5",179.37K,2.08
"Jul 04, 2013","14,018.93","13,970.27","14,093.02","13,962.3",143.59K,-0.26
"Jul 03, 2013","14,055.56","14,149.99","14,164.77","13,984.08",200.62K,-0.31
"Jul 02, 2013","14,098.74","13,969.15","14,098.74","13,898.54",214.13K,1.78
"Jul 01, 2013","13,852.5","13,746.72","13,862.71","13,562.7",172.27K,1.28
"Jun 28, 2013","13,677.32","13,383.92","13,724.44","13,354.7",234.42K,3.51
"Jun 27, 2013","13,213.55","12,968.72","13,213.55","12,873.5",182.42K,2.96
"Jun 26, 2013","12,834.01","13,152.75","13,189.84","12,826.51",173.37K,-1.04
"Jun 25, 2013","12,969.34","13,081.62","13,234.89","12,758.22",199.15K,-0.72
"Jun 24, 2013","13,062.78","13,417.54","13,426.13","13,026.23",162.53K,-1.26
"Jun 21, 2013","13,230.13","12,787.87","13,330.35","12,702.67",240.98K,1.66
"Jun 20, 2013","13,014.58","13,101.85","13,190.82","12,966.41",200.68K,-1.74
"Jun 19, 2013","13,245.22","13,233.08","13,296.62","13,107.65",201.91K,1.83
"Jun 18, 2013","13,007.28","13,015.15","13,139.48","12,919.03",158.74K,-0.2
"Jun 17, 2013","13,033.12","12,584.37","13,033.12","12,549.82",171.87K,2.73
"Jun 14, 2013","12,686.52","12,668.9","12,900.65","12,629.31",278.20K,1.94
"Jun 13, 2013","12,445.38","13,038.02","13,050.11","12,415.85",240.88K,-6.35
"Jun 12, 2013","13,289.32","13,087.66","13,332.72","12,994.08",205.51K,-0.21
"Jun 11, 2013","13,317.62","13,504.77","13,584.31","13,296.31",260.16K,-1.45
"Jun 10, 2013","13,514.2","13,141.85","13,514.2","13,141.37",241.39K,4.94
"Jun 07, 2013","12,877.53","12,706.41","13,106.2","12,548.2",324.45K,-0.21
"Jun 06, 2013","12,904.02","12,925.29","13,238.53","12,862.02",313.95K,-0.85
"Jun 05, 2013","13,014.87","13,566.75","13,711.42","13,011.16",303.70K,-3.83
"Jun 04, 2013","13,533.76","13,186.6","13,610.25","13,060.94",378.25K,2.05
"Jun 03, 2013","13,261.82","13,551.36","13,562.87","13,261.82",282.27K,-3.72
"May 31, 2013","13,774.54","13,804.23","13,916.56","13,681.39",280.50K,1.37
"May 30, 2013","13,589.03","14,072.9","14,098.16","13,555.66",321.60K,-5.15
"May 29, 2013","14,326.46","14,492.55","14,512.28","14,243.49",297.03K,0.1
"May 28, 2013","14,311.98","13,943.62","14,399.78","13,943.62",336.27K,1.2
"May 27, 2013","14,142.65","14,373.82","14,381.28","14,027.42",307.39K,-3.22
"May 24, 2013","14,612.45","14,731.75","15,007.5","13,981.52",461.18K,0.89
"May 23, 2013","14,483.98","15,739.98","15,942.6","14,483.98",595.18K,-7.32
"May 22, 2013","15,627.26","15,440.69","15,706.63","15,432.64",476.84K,1.6
"May 21, 2013","15,381.02","15,264.79","15,388.37","15,264.42",514.11K,0.13
"May 20, 2013","15,360.81","15,260.61","15,381.74","15,245.8",368.09K,1.47
"May 17, 2013","15,138.12","14,926.42","15,157.32","14,902.3",314.47K,0.67
"May 16, 2013","15,037.24","15,146.05","15,155.72","14,879.51",375.11K,-0.39
"May 15, 2013","15,096.03","14,962.34","15,108.83","14,956.38",435.01K,2.29
"May 14, 2013","14,758.42","14,822.56","14,839.79","14,755.08",304.67K,-0.16
"May 13, 2013","14,782.21","14,759.5","14,849.01","14,727.7",387.21K,1.2
"May 10, 2013","14,607.54","14,449.24","14,636.81","14,426.74",312.49K,2.93
"May 09, 2013","14,191.48","14,366.95","14,409.82","14,191.48",268.31K,-0.66
"May 08, 2013","14,285.69","14,196.2","14,421.38","14,186.83",252.60K,0.74
"May 07, 2013","14,180.24","13,960.04","14,196.38","13,951.81",217.24K,3.55
"May 02, 2013","13,694.04","13,727.25","13,780.48","13,637.96",179.92K,-0.76
"May 01, 2013","13,799.35","13,837.72","13,844.82","13,782",185.42K,-0.44
"Apr 30, 2013","13,860.86","13,854.82","13,897.06","13,778.75",237.55K,-0.17
"Apr 26, 2013","13,884.13","13,978.98","13,983.87","13,852.2",248.30K,-0.3
"Apr 25, 2013","13,926.08","13,887.53","13,974.26","13,827.96",294.48K,0.6
"Apr 24, 2013","13,843.46","13,687.28","13,843.46","13,686.78",307.45K,2.32
"Apr 23, 2013","13,529.65","13,545.6","13,585.35","13,505.53",240.21K,-0.29
"Apr 22, 2013","13,568.37","13,537.17","13,611.58","13,529.44",246.23K,1.89
"Apr 19, 2013","13,316.48","13,268.43","13,338.75","13,186.89",236.01K,0.73
