Date,Price,Open,High,Low,Vol.,Change %
"Nov 05, 2014","2,419.25","2,432.17","2,434.36","2,415.5",26.36B,-0.47
"Nov 04, 2014","2,430.68","2,428.27","2,435.22","2,417.22",30.90B,0.03
"Nov 03, 2014","2,430.03","2,425.22","2,436.79","2,418.17",29.88B,0.41
"Oct 31, 2014","2,420.18","2,393.18","2,423.6","2,384.48",32.58B,1.22
"Oct 30, 2014","2,391.08","2,371.89","2,397.26","2,365.92",29.46B,0.76
"Oct 29, 2014","2,373.03","2,343.72","2,381.64","2,339.71",26.56B,1.5
"Oct 28, 2014","2,337.87","2,294.01","2,338.28","2,294.01",17.86B,2.07
"Oct 27, 2014","2,290.44","2,293.57","2,293.64","2,279.84",13.03B,-0.51
"Oct 24, 2014","2,302.28","2,303.08","2,314.87","2,296.66",13.22B,-0.01
"Oct 23, 2014","2,302.42","2,322.32","2,329.93","2,297.33",16.26B,-1.04
"Oct 22, 2014","2,326.55","2,339.22","2,352.12","2,324.59",15.27B,-0.56
"Oct 21, 2014","2,339.66","2,355.03","2,361.65","2,337.55",16.88B,-0.72
"Oct 20, 2014","2,356.73","2,346.05","2,357.51","2,340.46",16.00B,0.66
"Oct 17, 2014","2,341.18","2,352.78","2,360.6","2,312.83",21.23B,-0.65
"Oct 16, 2014","2,356.5","2,361.13","2,389.67","2,353.41",24.82B,-0.72
"Oct 15, 2014","2,373.67","2,358.23","2,374.81","2,344.37",20.28B,0.6
"Oct 14, 2014","2,359.47","2,362.8","2,380.52","2,349.19",19.68B,-0.28
"Oct 13, 2014","2,366.01","2,366.43","2,366.86","2,341.12",20.09B,-0.36
"Oct 10, 2014","2,374.54","2,380.76","2,386.28","2,365.07",22.47B,-0.62
"Oct 09, 2014","2,389.37","2,383.86","2,391.35","2,367.11",23.59B,0.28
"Oct 08, 2014","2,382.79","2,368.58","2,382.79","2,354.29",20.44B,0.8
"Sep 30, 2014","2,363.87","2,361.32","2,365.49","2,354.27",19.39B,0.26
"Sep 29, 2014","2,357.71","2,353.71","2,363.06","2,346.58",20.01B,0.43
"Sep 26, 2014","2,347.72","2,339.29","2,350.11","2,329.96",17.47B,0.11
"Sep 25, 2014","2,345.1","2,352.86","2,365.15","2,336.81",22.57B,0.07
"Sep 24, 2014","2,343.57","2,302.23","2,345.75","2,297.88",22.25B,1.47
"Sep 23, 2014","2,309.72","2,289.09","2,311.53","2,289.02",15.69B,0.87
"Sep 22, 2014","2,289.87","2,323.55","2,323.55","2,284.38",17.58B,-1.7
"Sep 19, 2014","2,329.45","2,312.98","2,331.56","2,305.52",17.46B,0.58
"Sep 18, 2014","2,315.93","2,303.85","2,319.87","2,297.93",18.91B,0.35
"Sep 17, 2014","2,307.89","2,298.98","2,309.05","2,282.79",21.08B,0.49
"Sep 16, 2014","2,296.56","2,341.03","2,347.93","2,293.87",30.27B,-1.82
"Sep 15, 2014","2,339.14","2,330.19","2,340.45","2,321.59",21.51B,0.31
"Sep 12, 2014","2,331.95","2,308.35","2,331.95","2,302.77",19.35B,0.88
"Sep 11, 2014","2,311.68","2,315.73","2,343.59","2,304.6",22.22B,-0.29
"Sep 10, 2014","2,318.31","2,318.5","2,321.91","2,306.42",18.98B,-0.35
"Sep 09, 2014","2,326.53","2,328.43","2,331.92","2,315.89",19.70B,0
"Sep 05, 2014","2,326.43","2,311.3","2,327.56","2,307.45",21.32B,0.85
"Sep 04, 2014","2,306.86","2,290.03","2,307.7","2,283.28",19.95B,0.8
"Sep 03, 2014","2,288.63","2,268.39","2,290.55","2,268.1",21.25B,1
"Sep 02, 2014","2,266.05","2,239.68","2,267.51","2,234.38",19.21B,1.37
"Sep 01, 2014","2,235.51","2,220.13","2,236.29","2,217.68",12.92B,0.83
"Aug 29, 2014","2,217.2","2,198.95","2,218.7","2,193.26",10.52B,0.97
"Aug 28, 2014","2,195.82","2,210.48","2,219.47","2,194.86",12.42B,-0.62
"Aug 27, 2014","2,209.47","2,207.03","2,216.67","2,204.05",12.09B,0.11
"Aug 26, 2014","2,207.11","2,225.29","2,232.78","2,200.62",16.35B,-0.99
"Aug 25, 2014","2,229.27","2,241.1","2,241.55","2,222.01",16.21B,-0.51
"Aug 22, 2014","2,240.81","2,228.97","2,243.3","2,225.27",16.01B,0.46
"Aug 21, 2014","2,230.46","2,239.57","2,240.08","2,211.63",16.57B,-0.44
"Aug 20, 2014","2,240.21","2,241.66","2,248.94","2,233.89",16.77B,-0.23
"Aug 19, 2014","2,245.33","2,242.34","2,246.02","2,227.92",17.77B,0.26
"Aug 18, 2014","2,239.47","2,229.8","2,242.04","2,228.13",16.39B,0.57
"Aug 15, 2014","2,226.73","2,207.23","2,230.87","2,203.24",15.00B,0.92
"Aug 14, 2014","2,206.47","2,221.54","2,230.89","2,204.38",17.01B,-0.74
"Aug 13, 2014","2,222.88","2,223.05","2,230.99","2,202.44",17.81B,0.06
"Aug 12, 2014","2,221.59","2,222.7","2,222.98","2,210",15.48B,-0.14
"Aug 11, 2014","2,224.65","2,199.43","2,225.96","2,198.31",15.06B,1.38
"Aug 08, 2014","2,194.42","2,188.71","2,199.58","2,180.6",13.52B,0.31
"Aug 07, 2014","2,187.67","2,216.66","2,220.57","2,185.76",17.52B,-1.34
"Aug 06, 2014","2,217.46","2,212","2,223.89","2,192.99",17.77B,-0.11
"Aug 05, 2014","2,219.95","2,224.63","2,226.84","2,206.85",17.54B,-0.15
"Aug 04, 2014","2,223.33","2,190.04","2,224.07","2,186.92",17.41B,1.74
"Aug 01, 2014","2,185.3","2,194.17","2,218.79","2,184.64",19.15B,-0.74
"Jul 31, 2014","2,201.56","2,179.54","2,202.13","2,173.9",16.47B,0.93
"Jul 30, 2014","2,181.24","2,178.18","2,194.57","2,177.24",18.49B,-0.09
"Jul 29, 2014","2,183.19","2,179.83","2,193.52","2,172.1",20.03B,0.24
"Jul 28, 2014","2,177.95","2,135.25","2,181.5","2,135.25",23.62B,2.41
"Jul 25, 2014","2,126.61","2,108.71","2,127.22","2,106.71",14.25B,1.02
"Jul 24, 2014","2,105.06","2,079.63","2,107.95","2,079.63",16.57B,1.28
"Jul 23, 2014","2,078.49","2,074.2","2,088.19","2,072.23",13.73B,0.15
"Jul 22, 2014","2,075.48","2,050.5","2,078.09","2,049.81",12.32B,1.02
"Jul 21, 2014","2,054.48","2,057.77","2,061.82","2,049.18",9.39B,-0.22
"Jul 18, 2014","2,059.07","2,047.5","2,067.23","2,046",10.66B,0.17
"Jul 17, 2014","2,055.59","2,062.89","2,062.89","2,046.19",10.45B,-0.57
