Date,Close,Open,High,Low,Vol.,Change %
2000-08-08,"1,345.6","1,312.1","1,348.25","1,311.15",38.05M,2.65%
2000-08-09,"1,344.95","1,345.95","1,363.95","1,341.05",44.99M,-0.05%
2000-08-10,"1,328","1,345.25","1,360.4","1,325.15",44.33M,-1.26%
2000-08-11,"1,310.75","1,328.15","1,328.15","1,306.6",36.41M,-1.30%
2000-08-14,"1,317.9","1,312.25","1,321.55","1,295.45",43.86M,0.55%
2000-08-16,"1,351.45","1,319.35","1,354.95","1,319.35",40.98M,2.55%
2000-08-17,"1,341.4","1,351.5","1,363.05","1,334.95",53.41M,-0.74%
2000-08-18,"1,358.05","1,342","1,360.65","1,339.05",48.69M,1.24%
2000-08-21,"1,370.25","1,358.75","1,374.5","1,358.75",49.04M,0.90%
2000-08-22,"1,381.2","1,370.75","1,394.9","1,370.75",52.20M,0.80%
2000-08-23,"1,386.05","1,381.6","1,398.9","1,376.9",61.61M,0.35%
2000-08-24,"1,386.95","1,386.3","1,390.45","1,374.9",44.51M,0.06%
2000-08-25,"1,381.25","1,387.35","1,396.1","1,377.75",50.26M,-0.41%
2000-08-28,"1,369.85","1,379.6","1,383.45","1,368.25",37.28M,-0.83%
2000-08-29,"1,367.7","1,368.65","1,373.55","1,360.65",38.51M,-0.16%
2000-08-30,"1,375.95","1,369.9","1,384.85","1,369.8",43.64M,0.60%
2000-08-31,"1,394.1","1,376.5","1,397.3","1,375.9",41.75M,1.32%
2000-09-04,"1,427.75","1,395.95","1,433.15","1,395.95",59.12M,2.41%
2000-09-05,"1,428.25","1,428.05","1,434.65","1,420.9",46.66M,0.04%
2000-09-06,"1,435.35","1,430.9","1,444.45","1,421",55.57M,0.50%
2000-09-07,"1,439.75","1,434.7","1,450.2","1,424.35",50.58M,0.31%
2000-09-08,"1,450.05","1,440.6","1,453.15","1,440.6",48.95M,0.72%
2000-09-11,"1,456.35","1,449.35","1,469","1,448.95",48.90M,0.43%
2000-09-12,"1,467.65","1,457.1","1,470.55","1,447.8",44.77M,0.78%
2000-09-13,"1,456.15","1,467.65","1,482","1,452.6",40.90M,-0.78%
2000-09-14,"1,445.3","1,456.75","1,466.65","1,437.85",48.94M,-0.75%
2000-09-15,"1,417.2","1,443.25","1,451.05","1,411.55",48.42M,-1.94%
2000-09-18,"1,354.35","1,416.05","1,416.05","1,352.1",44.61M,-4.43%
2000-09-19,"1,317","1,351.8","1,361.7","1,295.3",61.40M,-2.76%
2000-09-20,"1,342.9","1,317.8","1,351.1","1,311.1",42.01M,1.97%
2000-09-21,"1,329.85","1,341.65","1,347.4","1,325.75",37.26M,-0.97%
2000-09-22,"1,266.45","1,329.1","1,329.1","1,261.2",53.88M,-4.77%
2000-09-25,"1,292.55","1,268.4","1,305.1","1,268.4",42.39M,2.06%
2000-09-26,"1,267.9","1,292.9","1,298.25","1,261",46.21M,-1.91%
2000-09-27,"1,292.55","1,267.45","1,299","1,249.35",49.80M,1.94%
2000-09-28,"1,266.4","1,292.4","1,302.75","1,260.8",60.96M,-2.02%
2000-09-29,"1,271.65","1,267.3","1,284.15","1,264.4",49.22M,0.41%
2000-10-03,"1,282","1,270.75","1,288.15","1,254.35",53.47M,0.81%
2000-10-04,"1,297.8","1,281.45","1,300.05","1,275.8",42.23M,1.23%
2000-10-05,"1,284.75","1,296.1","1,306.45","1,282.5",46.47M,-1.01%
2000-10-06,"1,285","1,284.35","1,287.85","1,262.65",51.77M,0.02%
2000-10-09,"1,267.3","1,285.05","1,286.35","1,264.2",35.06M,-1.38%
2000-10-10,"1,238.95","1,268.7","1,272.75","1,230.05",48.90M,-2.24%
2000-10-11,"1,201.9","1,232.85","1,234.1","1,193.8",50.47M,-2.99%
2000-10-12,"1,206.25","1,201.3","1,214.35","1,185.1",58.85M,0.36%
2000-10-13,"1,176.75","1,205.7","1,205.7","1,167.5",55.25M,-2.45%
2000-10-16,"1,175.45","1,177.85","1,228.8","1,173.35",55.53M,-0.11%
2000-10-17,"1,158.05","1,174.3","1,174.3","1,140.6",60.52M,-1.48%
2000-10-18,"1,136","1,157.05","1,157.05","1,122.8",46.52M,-1.90%
2000-10-19,"1,166.15","1,135.65","1,171.5","1,108.2",67.02M,2.65%
2000-10-20,"1,172","1,166.2","1,202.7","1,166.2",67.68M,0.50%
2000-10-23,"1,143.95","1,171.75","1,172.15","1,141.45",48.68M,-2.39%
2000-10-24,"1,152.45","1,143","1,155.35","1,132.9",48.20M,0.74%
2000-10-25,"1,183.9","1,158.2","1,190.4","1,157.25",61.46M,2.73%
2000-10-26,"1,186.3","1,182.8","1,188.2","1,176.6",14.45M,0.20%
2000-10-27,"1,178.7","1,186.95","1,192.9","1,171.85",42.73M,-0.64%
2000-10-30,"1,167.15","1,178.75","1,185.8","1,164.25",38.38M,-0.98%
2000-10-31,"1,172.75","1,167.2","1,175.6","1,155.15",46.35M,0.48%
2000-11-01,"1,200.8","1,178.25","1,203.85","1,177.1",57.07M,2.39%
2000-11-02,"1,224.85","1,201.25","1,226.35","1,199.75",67.71M,2.00%
2000-11-03,"1,242.05","1,225","1,249.2","1,225",76.27M,1.40%
2000-11-06,"1,240.25","1,242.15","1,261.4","1,236.65",71.32M,-0.14%
2000-11-07,"1,246.75","1,239","1,249.1","1,232.35",52.95M,0.52%
2000-11-08,"1,266.8","1,246.65","1,277.25","1,246.65",75.24M,1.61%
2000-11-09,"1,269.95","1,266.75","1,275.55","1,255.95",61.83M,0.25%
2000-11-10,"1,239.55","1,271.35","1,271.4","1,237.5",62.55M,-2.39%
2000-11-13,"1,208.05","1,239.35","1,239.35","1,199.95",56.91M,-2.54%
2000-11-14,"1,242.85","1,207.2","1,246.9","1,207.05",71.33M,2.88%
2000-11-15,"1,247.05","1,245","1,270.1","1,243.2",71.82M,0.34%
2000-11-16,"1,233.25","1,246.6","1,254.55","1,228.6",62.68M,-1.11%
2000-11-17,"1,236","1,232.35","1,238","1,216.9",56.34M,0.22%
2000-11-20,"1,237.6","1,236","1,241.75","1,231.05",53.53M,0.13%
2000-11-21,"1,235","1,236.95","1,237.85","1,224.3",54.13M,-0.21%
2000-11-22,"1,222.35","1,235.85","1,247.5","1,220.05",56.32M,-1.02%
2000-11-23,"1,216","1,221.2","1,223.05","1,209.85",60.19M,-0.52%
2000-11-24,"1,225.2","1,216.05","1,230","1,216.05",69.64M,0.76%
2000-11-27,"1,252.9","1,225.4","1,254.45","1,225.35",67.01M,2.26%
2000-11-28,"1,272.75","1,252.9","1,275.45","1,248.9",81.85M,1.58%
2000-11-29,"1,264.75","1,272.25","1,281","1,253.45",83.44M,-0.63%
2000-11-30,"1,268.15","1,264.75","1,272.1","1,258.4",75.25M,0.27%
2000-12-01,"1,276.2","1,268.1","1,280.5","1,255.2",93.88M,0.63%
2000-12-04,"1,275.6","1,276.25","1,290","1,273.65",68.39M,-0.05%
2000-12-05,"1,284.65","1,275.7","1,288.2","1,275.5",66.90M,0.71%
2000-12-06,"1,298.55","1,284.85","1,319.85","1,284.85",82.72M,1.08%
2000-12-07,"1,302.5","1,298.9","1,308.45","1,295.1",86.89M,0.30%
2000-12-08,"1,313.7","1,303.3","1,317.2","1,303.3",92.77M,0.86%
2000-12-11,"1,332.15","1,313.7","1,333.5","1,313.7",77.52M,1.40%
2000-12-12,"1,333.35","1,332.2","1,341.75","1,327.6",78.40M,0.09%
2000-12-13,"1,354.3","1,333.8","1,360.8","1,333.8",81.30M,1.57%
2000-12-14,"1,349.35","1,354.45","1,369.5","1,346.15",107.92M,-0.37%
2000-12-15,"1,312.6","1,349.25","1,349.25","1,308.15",106.56M,-2.72%
2000-12-18,"1,317.6","1,310.15","1,321.65","1,297.2",71.85M,0.38%
2000-12-19,"1,310.5","1,317.75","1,325.6","1,307",79.68M,-0.54%
2000-12-20,"1,295.25","1,312.8","1,313.4","1,285.45",64.92M,-1.16%
2000-12-21,"1,277.4","1,294.25","1,294.25","1,257.1",81.45M,-1.38%
2000-12-22,"1,242","1,278.95","1,292.8","1,237.3",89.71M,-2.77%
2000-12-26,"1,212","1,242.05","1,248.5","1,207.95",71.78M,-2.42%
2000-12-27,"1,228.3","1,212.15","1,239","1,208.75",59.26M,1.34%
2000-12-28,"1,248.95","1,229.35","1,253.6","1,229.35",61.90M,1.68%
2000-12-29,"1,263.55","1,249","1,265.9","1,242.25",68.27M,1.17%
2001-01-01,"1,254.3","1,263.5","1,276.15","1,250.65",60.53M,-0.73%
2001-01-02,"1,271.8","1,254.25","1,279.6","1,248.55",72.27M,1.40%
2001-01-03,"1,291.25","1,271.8","1,293.55","1,263.95",99.08M,1.53%
2001-01-04,"1,307.65","1,291.3","1,331.35","1,291.3",106.44M,1.27%
2001-01-05,"1,327.25","1,307.55","1,330.3","1,306.25",98.83M,1.50%
2001-01-08,"1,309.25","1,327.35","1,334.2","1,303.35",96.10M,-1.36%
2001-01-09,"1,311.65","1,309.2","1,323.4","1,304.9",90.81M,0.18%
2001-01-10,"1,287.3","1,311.65","1,324.35","1,285.3",81.32M,-1.86%
2001-01-11,"1,280.4","1,287.5","1,296.75","1,275.95",83.10M,-0.54%
2001-01-12,"1,286.75","1,280.45","1,298.85","1,279.4",82.04M,0.50%
2001-01-15,"1,286.75","1,286.85","1,295.2","1,277.85",73.89M,0.00%
2001-01-16,"1,293.05","1,287","1,302.6","1,279.85",78.83M,0.49%
2001-01-17,"1,297.9","1,299.4","1,312.35","1,295.3",72.32M,0.38%
2001-01-18,"1,305.95","1,297.95","1,309.95","1,297.95",80.94M,0.62%
2001-01-19,"1,329.1","1,306","1,333.5","1,306",107.08M,1.77%
2001-01-22,"1,348","1,329.3","1,351.85","1,329.3",99.48M,1.42%
2001-01-23,"1,355.2","1,347.95","1,362.05","1,346.5",98.01M,0.53%
2001-01-24,"1,365.95","1,355.35","1,371.1","1,355.35",114.57M,0.79%
2001-01-25,"1,370.1","1,366.05","1,374.2","1,353.5",108.88M,0.30%
2001-01-29,"1,342.05","1,368.55","1,368.55","1,312.1",87.20M,-2.05%
2001-01-30,"1,379.7","1,342.1","1,382.55","1,342.05",96.52M,2.81%
2001-01-31,"1,371.7","1,385.85","1,396.05","1,369",100.05M,-0.58%
2001-02-01,"1,359.15","1,371.5","1,373.5","1,340.95",111.15M,-0.91%
2001-02-02,"1,378.85","1,359.1","1,384.9","1,355.3",116.26M,1.45%
2001-02-05,"1,382.6","1,378.8","1,392.15","1,373.45",99.31M,0.27%
2001-02-06,"1,387.1","1,382.7","1,395.4","1,382.7",87.86M,0.33%
2001-02-07,"1,370.8","1,387.3","1,391.85","1,368.05",113.03M,-1.18%
2001-02-08,"1,395.5","1,370.65","1,396.8","1,365.05",112.78M,1.80%
2001-02-09,"1,405.7","1,395.55","1,416.3","1,395.55",145.05M,0.73%
2001-02-12,"1,402.2","1,405.7","1,416.45","1,397.6",93.54M,-0.25%
2001-02-13,"1,391.2","1,402.2","1,412.7","1,386.65",101.74M,-0.78%
2001-02-14,"1,393.35","1,393.15","1,396.35","1,380.65",82.94M,0.15%
2001-02-15,"1,416.7","1,393.35","1,421","1,393.35",104.61M,1.68%
2001-02-16,"1,381.35","1,415.85","1,422.95","1,376.15",113.02M,-2.50%
2001-02-19,"1,384.8","1,381.4","1,392.05","1,369.45",78.67M,0.25%
2001-02-20,"1,383.85","1,384.85","1,392.8","1,380.4",100.05M,-0.07%
2001-02-21,"1,370.1","1,383.9","1,389.55","1,364.25",101.08M,-0.99%
2001-02-22,"1,355.1","1,370.05","1,370.05","1,335.65",100.05M,-1.09%
2001-02-23,"1,320.45","1,355.1","1,362.8","1,314.1",109.21M,-2.56%
2001-02-26,"1,312.4","1,320.9","1,325.2","1,299.05",86.95M,-0.61%
2001-02-27,"1,295.55","1,312.45","1,324","1,281.9",106.03M,-1.28%
